Gender,Customer Type,Age,Type of Travel,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Class_Business,Class_Eco,Class_Eco Plus
0,1,13,0,460,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18.0,0,False,False,True
0,0,25,1,235,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6.0,0,True,False,False
1,1,26,1,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,1,True,False,False
1,1,25,1,562,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9.0,0,True,False,False
0,1,61,1,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,1,True,False,False
1,1,26,0,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,0,False,True,False
0,1,47,0,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23.0,0,False,True,False
1,1,52,1,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0.0,1,True,False,False
1,1,41,1,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0.0,0,True,False,False
0,0,20,1,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,0,False,True,False
1,0,24,1,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,0,False,True,False
1,1,12,0,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0.0,0,False,False,True
0,1,53,1,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,0,False,True,False
0,1,33,0,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0.0,1,False,True,False
1,1,26,0,453,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35.0,0,False,True,False
0,0,13,1,486,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0.0,0,False,True,False
1,1,26,1,2123,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51.0,1,True,False,False
0,1,41,1,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10.0,1,True,False,False
1,1,45,1,2486,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5.0,1,True,False,False
0,1,38,0,460,2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18.0,0,False,True,False
0,1,9,1,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4.0,0,False,True,False
1,1,17,0,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0.0,0,False,True,False
1,1,43,0,752,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29.0,0,False,True,False
1,1,58,0,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0.0,0,False,True,False
1,0,23,1,452,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44.0,1,False,True,False
0,1,57,0,719,4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28.0,0,False,True,False
1,1,33,1,1561,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0.0,1,True,False,False
1,1,49,1,315,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8.0,1,False,False,True
1,1,36,1,3347,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12.0,0,True,False,False
0,1,22,0,2342,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0.0,0,False,True,False
1,1,31,1,819,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0.0,1,True,False,False
1,0,15,1,1043,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0.0,0,False,True,False
1,1,35,1,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120.0,1,True,False,False
1,1,67,0,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24.0,0,False,True,False
0,0,37,1,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0.0,0,True,False,False
1,1,40,1,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1.0,0,False,True,False
1,0,34,1,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,0,True,False,False
0,1,40,0,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20.0,0,False,False,True
1,1,47,0,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31.0,1,False,True,False
0,0,41,1,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0.0,0,True,False,False
0,1,39,1,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,1,True,False,False
1,0,25,1,1452,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23.0,0,True,False,False
0,1,41,1,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0.0,1,True,False,False
1,1,38,1,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0.0,1,True,False,False
1,1,50,1,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15.0,1,True,False,False
0,1,29,1,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0.0,1,True,False,False
1,1,22,0,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0.0,0,True,False,False
1,1,13,1,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0.0,0,True,False,False
0,1,54,1,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0.0,1,True,False,False
0,1,21,0,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0.0,0,False,True,False
0,1,28,1,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8.0,0,False,True,False
0,1,27,1,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1.0,1,True,False,False
1,1,69,1,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0.0,1,False,True,False
0,1,35,0,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0.0,0,False,True,False
1,1,60,0,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10.0,0,False,True,False
1,1,45,1,3334,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48.0,1,True,False,False
